0.00%,100.00%,4.19
0.36%,99.64%,4.18
0.88%,99.12%,4.17
1.48%,98.52%,4.16
2.11%,97.89%,4.15
2.80%,97.20%,4.14
3.51%,96.49%,4.13
4.27%,95.73%,4.12
5.06%,94.94%,4.11
5.89%,94.11%,4.10
6.74%,93.26%,4.09
7.61%,92.39%,4.08
8.48%,91.52%,4.07
9.30%,90.70%,4.06
10.11%,89.89%,4.05
10.92%,89.08%,4.04
11.71%,88.29%,4.03
12.52%,87.48%,4.02
13.31%,86.69%,4.01
14.16%,85.84%,4.00
14.98%,85.02%,3.99
15.82%,84.18%,3.98
16.66%,83.34%,3.97
17.52%,82.48%,3.96
18.43%,81.57%,3.95
19.35%,80.65%,3.94
20.27%,79.73%,3.93
21.22%,78.78%,3.92
22.19%,77.81%,3.91
23.17%,76.83%,3.90
24.17%,75.83%,3.89
25.18%,74.82%,3.88
26.17%,73.83%,3.87
27.17%,72.83%,3.86
28.20%,71.80%,3.85
29.17%,70.83%,3.84
30.19%,69.81%,3.83
31.17%,68.83%,3.82
32.14%,67.86%,3.81
33.11%,66.89%,3.80
34.04%,65.96%,3.79
34.95%,65.05%,3.78
35.85%,64.15%,3.77
36.70%,63.30%,3.76
37.54%,62.46%,3.75
38.34%,61.66%,3.74
39.18%,60.82%,3.73
40.06%,59.94%,3.72
41.03%,58.97%,3.71
42.12%,57.88%,3.70
43.34%,56.66%,3.69
44.67%,55.33%,3.68
46.14%,53.86%,3.67
47.85%,52.15%,3.66
49.72%,50.28%,3.65
51.75%,48.25%,3.64
54.06%,45.94%,3.63
56.45%,43.55%,3.62
58.97%,41.03%,3.61
61.54%,38.46%,3.60
64.11%,35.89%,3.59
66.66%,33.34%,3.58
68.70%,31.30%,3.57
70.45%,29.55%,3.56
72.03%,27.97%,3.55
73.49%,26.51%,3.54
74.90%,25.10%,3.53
76.29%,23.71%,3.52
77.69%,22.31%,3.51
79.05%,20.95%,3.50
80.27%,19.73%,3.49
81.36%,18.64%,3.48
82.37%,17.63%,3.47
83.30%,16.70%,3.46
84.19%,15.81%,3.45
85.09%,14.91%,3.44
85.91%,14.09%,3.43
86.70%,13.30%,3.42
87.43%,12.57%,3.41
88.17%,11.83%,3.40
88.95%,11.05%,3.39
89.76%,10.24%,3.38
90.57%,9.43%,3.37
91.33%,8.67%,3.36
92.01%,7.99%,3.35
92.64%,7.36%,3.34
93.21%,6.79%,3.33
93.71%,6.29%,3.32
94.15%,5.85%,3.31
94.53%,5.47%,3.30
94.86%,5.14%,3.29
95.15%,4.85%,3.28
95.41%,4.59%,3.26
95.63%,4.37%,3.25
95.84%,4.16%,3.24
96.03%,3.97%,3.23
96.20%,3.80%,3.22
96.38%,3.62%,3.21
96.54%,3.46%,3.20
96.70%,3.30%,3.19
96.85%,3.15%,3.18
96.99%,3.01%,3.17
97.13%,2.87%,3.16
97.26%,2.74%,3.15
97.40%,2.60%,3.14
97.52%,2.48%,3.13
97.64%,2.36%,3.12
97.76%,2.24%,3.11
97.87%,2.13%,3.10
97.97%,2.03%,3.09
98.07%,1.93%,3.08
98.17%,1.83%,3.07
98.27%,1.73%,3.06
98.35%,1.65%,3.05
98.44%,1.56%,3.04
98.53%,1.47%,3.03
98.61%,1.39%,3.02
98.68%,1.32%,3.01
98.76%,1.24%,3.00
98.83%,1.17%,2.99
98.90%,1.10%,2.98
98.96%,1.04%,2.97
99.03%,0.97%,2.96
99.09%,0.91%,2.95
99.15%,0.85%,2.94
99.21%,0.79%,2.93
99.26%,0.74%,2.92
99.32%,0.68%,2.91
99.37%,0.63%,2.90
99.42%,0.58%,2.89
99.47%,0.53%,2.88
99.52%,0.48%,2.87
99.57%,0.43%,2.86
99.61%,0.39%,2.85
99.66%,0.34%,2.84
99.70%,0.30%,2.83
99.74%,0.26%,2.82
99.78%,0.22%,2.81
99.82%,0.18%,2.80
99.86%,0.14%,2.79
99.89%,0.11%,2.78
99.93%,0.07%,2.77
99.97%,0.03%,2.76
100.00%,0.00%,2.75
